,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,x-tsne,y-tsne,x-bin,y-bin
0,-0.4242829,-0.61050475,0.59266025,1.2763252,-0.28241393,-2.642212,0.07095405,0.0010818108,0.099106275,0.018686846,0.036184035,-20.137983,-6.578554,-20,-6
1,-0.42645383,-0.6081153,0.59309745,1.2758597,-0.273188,-2.6164248,-0.002831404,0.045458328,0.10809873,0.007316466,0.2839566,-20.254583,-6.572976,-20,-6
2,-0.43303132,-0.6008506,0.59400916,1.2748165,-0.24557574,-2.5888886,-0.07673342,0.09014404,0.11112486,0.004052609,0.5296184,-20.374132,-6.561841,-20,-6
3,-0.44401783,-0.5889828,0.5950216,1.2736748,-0.19972947,-2.561432,-0.15061675,0.1298449,0.11091362,0.0045129405,0.7732908,-20.50228,-6.5709157,-20,-6
4,-0.4594067,-0.57364386,0.5958167,1.2726406,-0.13579437,-2.5355859,-0.22430845,0.15476684,0.106540374,0.006383009,1.0150473,-20.625668,-6.582993,-20,-6
5,-0.47918156,-0.5562397,0.5961907,1.2717832,-0.0539128,-2.5117636,-0.29757956,0.16796973,0.101101875,0.008619148,1.2548987,-20.745644,-6.604716,-20,-6
6,-0.50330675,-0.5380001,0.5961262,1.2711107,0.045773745,-2.478875,-0.35537404,0.19612394,0.095951855,0.009521518,1.4850193,-20.861622,-6.637779,-20,-6
7,-0.52071583,-0.48770815,0.5955604,1.2696667,0.15596761,-2.2177327,-0.091031544,0.70823246,0.089695886,-0.0037303786,1.5485675,-21.02824,-6.815598,-21,-6
8,-0.5231845,-0.4091855,0.5944816,1.2619967,0.2721029,-2.0694983,0.14407068,0.73096055,0.08373377,-0.13999239,1.6442571,-21.124144,-6.9887614,-21,-6
9,-0.51270336,-0.33514205,0.5932076,1.2425684,0.39471465,-1.9684565,0.34193602,0.63169944,0.08419746,-0.28427812,1.7223399,-21.179655,-7.1490626,-21,-7
10,-0.49171016,-0.27306,0.592175,1.212009,0.5214178,-1.8980328,0.49559015,0.5128875,0.08886974,-0.4051555,1.7460918,-21.199265,-7.2722225,-21,-7
11,-0.46294844,-0.22339307,0.59160876,1.172537,0.64878845,-1.8520676,0.6020689,0.4037698,0.09502255,-0.49648714,1.7401422,-21.196774,-7.377303,-21,-7
12,-0.42921543,-0.18529445,0.59153855,1.126368,0.7739221,-1.8286345,0.662537,0.3000611,0.1006633,-0.5646245,1.6937523,-21.172407,-7.4704294,-21,-7
13,-0.39313662,-0.15784113,0.5918888,1.0753379,0.8949572,-1.8227012,0.6815475,0.20777284,0.105117574,-0.61232865,1.629665,-21.130257,-7.557092,-21,-7
14,-0.35649556,-0.1405123,0.5925658,1.0218867,1.003111,-1.8847858,0.70207644,0.08409057,0.10888159,-0.60148656,1.1070895,-20.732496,-7.80464,-20,-7
15,-0.31795895,-0.13751921,0.593607,0.9727005,1.0543956,-1.972705,0.72385,-0.023746915,0.11314755,-0.53832895,0.41558108,-20.1396,-8.091982,-20,-8
16,-0.2792426,-0.14197262,0.5948001,0.9285398,1.0680522,-2.0124946,0.71019006,-0.048898783,0.11306807,-0.48049635,0.06537398,-19.947866,-8.212654,-19,-8
17,-0.24216698,-0.14638095,0.5959006,0.8882565,1.0634544,-2.0200005,0.66911894,-0.015980752,0.1111912,-0.4457933,-0.09325103,-19.858139,-8.289467,-19,-8
18,-0.20800549,-0.14581959,0.5968212,0.85028327,1.0512869,-2.0157557,0.61627877,0.027334517,0.108939484,-0.42256907,-0.14868294,-19.795889,-8.304034,-19,-8
19,-0.1771019,-0.14065066,0.5975577,0.8142528,1.0371575,-2.0080671,0.5602822,0.06982803,0.10682459,-0.39931923,-0.15210731,-19.7414,-8.291253,-19,-8
